field_1,Site,Dist,Latitude,Longitude,HubName,HubDist
1,Boboka,0,1.453787964,18.89902602,"1",0.266595556646351
2,Bolengo,0,-0.285544032,19.81304599,"6",2.19078053955219
3,Bondamba,0,-0.235372977,19.68548197,"5",2.32342015244827
4,Ipombo,0,0.32801698,18.24984703,"3",1.29807565692474
5,Lobaka,0,1.016295031,18.51670898,"2",0.308670221757042
6,Mpeka,0,-0.190510014,18.85268399,"4",1.71626613159043
7,Bolengo,1000,-0.293754023,19.80945904,"6",2.9959461322105
8,Bondamba,1000,-0.226499978,19.68697596,"5",3.25186601769656
9,Ipombo,1000,0.329375016,18.24101603,"3",2.05640040677606
10,Lobaka,1000,1.010850985,18.52387802,"2",1.27582733899248
11,Mpeka,1000,-0.185162025,18.85991002,"4",1.39228156218264
12,Boboka,2000,1.467405958,18.887547,"1",2.17090767652212
13,Bolengo,2000,-0.301973987,19.80597703,"6",3.88065406703396
14,Bondamba,2000,-0.217691017,19.68846903,"5",4.20433186507337
15,Ipombo,2000,0.330696004,18.232139,"3",2.9639670238362
16,Lobaka,2000,1.005797032,18.53125501,"2",2.26754152767882
17,Mpeka,2000,-0.179728037,18.86695703,"4",1.7201157654547
18,Boboka,3000,1.47421902,18.88179601,"1",3.15678385855867
19,Bolengo,3000,-0.310238963,19.80255696,"6",4.80499951632559
20,Bondamba,3000,-0.208777031,19.68968097,"5",5.17013602596204
21,Ipombo,3000,0.331982961,18.22333298,"3",3.90885395540188
22,Lobaka,3000,1.000656998,18.53867702,"2",3.26952202026154
23,Mpeka,3000,-0.17396397,18.874013,"4",2.47066286730901
24,Boboka,4000,1.481164014,18.876214,"1",4.1440139096662
25,Bolengo,4000,-0.318689011,19.79940302,"6",5.74912062601292
26,Bondamba,4000,-0.199923981,19.69135199,"5",6.15504973576512
27,Ipombo,4000,0.33336103,18.21435101,"3",4.89079361908223
28,Lobaka,4000,0.995573038,18.546137,"2",4.2720096259949
29,Mpeka,4000,-0.168654034,18.88100501,"4",3.313008557503
30,Boboka,5000,1.488160975,18.87046703,"1",5.14721593711421
31,Bolengo,5000,-0.326946024,19.79576703,"6",6.72273670596508
32,Bondamba,5000,-0.191181991,19.69321998,"5",7.13814279891446
33,Ipombo,5000,0.334657962,18.20541699,"3",5.87764284591523
34,Lobaka,5000,0.990390005,18.5536,"2",5.28087803194229
35,Mpeka,5000,-0.162667008,18.88795604,"4",4.27345282132383
36,Boboka,6000,1.495045032,18.86458604,"1",6.15001885522461
37,Bolengo,6000,-0.335192978,19.79223297,"6",7.69547753334932
38,Bondamba,6000,-0.182247972,19.694374,"5",8.11989070987161
39,Ipombo,6000,0.336052962,18.19639304,"3",6.87967220321348
40,Lobaka,6000,0.985220969,18.56108101,"2",6.29066372971516
41,Mpeka,6000,-0.157118021,18.89498301,"4",5.22145416002409
42,Boboka,7000,1.502228994,18.859,"1",7.15869122234491
43,Bondamba,7000,-0.173441023,19.69598601,"5",9.1050749953999
44,Mpeka,7000,-0.15174103,18.902229,"4",6.18439396395028
45,Boboka,8000,1.509325029,18.85340399,"1",8.16041549295516
46,Mpeka,8000,-0.146762012,18.90965897,"4",7.1383829089764
47,Boboka,9000,1.516159968,18.84751,"1",9.1601316048325
48,Mpeka,9000,-0.140653029,18.91624304,"4",8.13023377809752
49,Boboka,10000,1.522948975,18.841685,"1",10.1512702721775
50,Mpeka,10000,-0.134818973,18.92314,"4",9.12446425312
51,Boboka,11000,1.529849041,18.83588104,"1",11.1506102449758
